Cost;Gamma;AUC Train;AUC Test
2048;0.0009765625;0.852839389649206;0.865825688073395
2048;0.001953125;0.852839389649206;0.863532110091743
2048;0.00390625;0.867960515966651;0.861238532110092
2048;0.0078125;0.934363693566148;0.859709480122324
2048;0.015625;0.999233128834356;0.853593272171254
2048;0.03125;1;0.855122324159021
2048;0.0625;1;0.857415902140673
2048;0.125;1;0.860474006116208
2048;0.25;1;0.863532110091743
2048;0.5;1;0.828746177370031
2048;1;1;0.706039755351682
2048;2;1;0.541666666666667
2048;4;1;0.5
2048;8;1;0.5
2048;16;1;0.5
2048;32;1;0.5
2048;64;1;0.5
2048;128;1;0.5
2048;256;1;0.5
2048;512;1;0.5
2048;1024;1;0.5
2048;2048;1;0.5
2048;4096;1;0.5
2048;8192;1;0.5
2048;16384;1;0.5
2048;32768;1;0.5
4096;3.0517578125e-05;0.726168003775366;0.868119266055046
4096;6.103515625e-05;0.751809029416391;0.86888379204893
4096;0.0001220703125;0.79027056787793;0.866590214067278
4096;0.000244140625;0.85360626081485;0.863532110091743
4096;0.00048828125;0.85360626081485;0.865825688073395
4096;0.0009765625;0.852839389649206;0.865825688073395
4096;0.001953125;0.85360626081485;0.861238532110092
4096;0.00390625;0.895902155104609;0.862003058103976
4096;0.0078125;0.972825232027686;0.855886850152905
4096;0.015625;1;0.853593272171254
4096;0.03125;1;0.855122324159021
4096;0.0625;1;0.857415902140673
4096;0.125;1;0.860474006116208
4096;0.25;1;0.863532110091743
4096;0.5;1;0.828746177370031
4096;1;1;0.706039755351682
4096;2;1;0.541666666666667
4096;4;1;0.5
4096;8;1;0.5
4096;16;1;0.5
4096;32;1;0.5
4096;64;1;0.5
4096;128;1;0.5
4096;256;1;0.5
4096;512;1;0.5
4096;1024;1;0.5
4096;2048;1;0.5
4096;4096;1;0.5
4096;8192;1;0.5
4096;16384;1;0.5
4096;32768;1;0.5
8192;3.0517578125e-05;0.751809029416391;0.86888379204893
8192;6.103515625e-05;0.79027056787793;0.866590214067278
8192;0.0001220703125;0.85360626081485;0.863532110091743
8192;0.000244140625;0.85360626081485;0.865825688073395
8192;0.00048828125;0.852839389649206;0.865825688073395
8192;0.0009765625;0.840785747994337;0.862767584097859
8192;0.001953125;0.867960515966651;0.861238532110092
8192;0.00390625;0.934363693566148;0.859709480122324
8192;0.0078125;0.999233128834356;0.852064220183486
8192;0.015625;1;0.855886850152905
8192;0.03125;1;0.855122324159021
8192;0.0625;1;0.857415902140673
8192;0.125;1;0.860474006116208
8192;0.25;1;0.863532110091743
8192;0.5;1;0.828746177370031
8192;1;1;0.706039755351682
8192;2;1;0.541666666666667
8192;4;1;0.5
8192;8;1;0.5
8192;16;1;0.5
8192;32;1;0.5
8192;64;1;0.5
8192;128;1;0.5
8192;256;1;0.5
8192;512;1;0.5
8192;1024;1;0.5
8192;2048;1;0.5
8192;4096;1;0.5
8192;8192;1;0.5
8192;16384;1;0.5
8192;32768;1;0.5
16384;3.0517578125e-05;0.79027056787793;0.866590214067278
16384;6.103515625e-05;0.85360626081485;0.863532110091743
16384;0.0001220703125;0.85360626081485;0.865825688073395
16384;0.000244140625;0.852839389649206;0.865825688073395
16384;0.00048828125;0.852839389649206;0.865825688073395
16384;0.0009765625;0.85360626081485;0.861238532110092
16384;0.001953125;0.895902155104609;0.862003058103976
16384;0.00390625;0.972825232027686;0.856651376146789
16384;0.0078125;1;0.853593272171254
16384;0.015625;1;0.855886850152905
16384;0.03125;1;0.855122324159021
16384;0.0625;1;0.857415902140673
16384;0.125;1;0.860474006116208
16384;0.25;1;0.863532110091743
16384;0.5;1;0.828746177370031
16384;1;1;0.706039755351682
16384;2;1;0.541666666666667
16384;4;1;0.5
